country,unit,date_implemented,date_lifted,measure,level,measure_cat,measure_sub_cat,source,entered_by,reviewed_by
CH,CH,2020-02-27,,Start BAG information campaign,national,recommendations,,,FK,
CH,CH,2020-02-28,,ban on events with more than 1000 persons,national,mass_gatherings,ban of events / mass gatherings of > 1000 persons,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78289.html,FK/SB,
CH,CH,2020-02-28,,for events with less than 1000 persons an evaluation with cantonal authorities is required,national,mass_gatherings,event permit required,,FK,
CH,CH,2020-03-02,,Updated BAG information campaign,national,recommendations,,,FK,
CH,CH,2020-03-03,,Testing covered by health insurance,national,other,,,FK,
CH,CH,2020-03-13,,entry ban from high risk countries,national,mobility,restriction of cross-border mobility,,FK,
CH,CH,2020-03-13,,"the cantons must provide information on hopspital beds, ICU, medical material etc",national,other,,,FK,
CH,CH,2020-03-13,,event ban for events larger than 100 persons,national,mass_gatherings,ban of events / mass gatherings of > 100 persons,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78437.html,FK/SB,
CH,CH,2020-03-13,2020-04-26,"restaurants, nightclubs and bars cannot host more than 50 persons",national,private_institutions,restriction of access to private institutions,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78437.html,FK/SB,
CH,CH,2020-03-13,2020-04-26,events with less than 100 persons are permitted under special hygiene and distance conditons,national,mass_gatherings,event permit required,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78437.html,FK/SB,
CH,CH,2020-03-14,,the use of eye protective gear is recommended,national,recommendations,,,FK,
CH,CH,2020-03-14,,the use of surgical masks is recommended for all medical and care personel,national,recommendations,,,FK,
CH,CH,2020-03-14,,the use of FFP2/FFP3 masks is recommended for all procedures with risk of areosol formation,national,recommendations,,,FK,
CH,CH,2020-03-14,,the use of surgical masks is not recommended for the population,national,recommendations,,,FK,
CH,CH,2020-03-16,,swiss army stops recruitment,national,other,,,FK,
CH,CH,2020-03-16,2020-04-26,school closure,national,public_institutions,closure of schools,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78437.html,FK/SB,
CH,CH,2020-03-16,2020-04-26,closure of universities,national,public_institutions,closure of universities,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78437.html,FK/SB,
CH,CH,2020-03-16,,restrition of incoming cross-border mobility for selected countries,national,mobility,restriction of cross-border mobility,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78481.html,FK,
CH,CH,2020-03-17,2020-04-26,closure of public institutions (museums),national,public_institutions,"closure of public places (museums, sports facilities, ..)",https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78454.html,FK/SB,
CH,CH,2020-03-16,,explicit social distancing recommended (stay at home policy),national,mobility,stay-at-home recommendation,,FK/SB,
CH,CH,2020-03-17,2020-04-26,"closure of non-essential stores and private entertainment institutions, skiing resort, swimming pools, and establishments with close contact",national,private_institutions,closure of private institutions and businesses with close contact,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78454.html,FK,
CH,CH,2020-03-17,,suspension of elective surgeries,national,other,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78454.html,FK,
CH,CH,2020-03-18,,suspension of national plebiscite,national,other,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78485.html,FK,
CH,CH,2020-03-19,2020-04-04,suspension of debt collection,national,economic,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78482.html,FK,
CH,CH,2020-03-19,,SBB greatly reduces train services,national,mobility,reduction of public transport,,FK/SB,
CH,CH,2020-03-20,,preparation of economic aid package,national,economic,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78515.html,FK,
CH,CH,2020-03-20,2020-04-26,ban of gatherings of more than 5 people,national,mass_gatherings,ban of events / mass gatherings of > 5 persons,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78513.html,FK,
CH,CH,2020-03-21,2020-04-26,suspension of civil court proceedings,national,other,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78502.html,FK,
CH,CH,2020-03-21,2020-05-31,suspension of signature collections for popular initiatives,national,other,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78503.html,FK,
CH,CH,2020-03-26,,export of PPE equipment requires permission,national,other,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78576.html,FK,
CH,CH,2020-03-26,,emergency credit for small and medium enterprises,national,economic,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78572.html,FK,
CH,CH,2020-03-27,,deactivation of countercyclical capital buffer,national,economic,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78604.html,FK,
CH,CH,2020-04-01,,permission of video identification for identity verification or contracts,national,other,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78641.html,FK,
CH,CH-VD,2020-03-16,,distance teaching,cantonal,public_institutions,closure of schools,,SB,FK
CH,CH-VD,2020-03-13,,ban on events with more than 50 persons,cantonal,mass_gatherings,ban of events / mass gatherings of > 50 persons,,SB,FK
CH,CH-VD,2020-03-13,,closure of all leisure and entertainment places,cantonal,private_institutions,closure of private institutions and businesses with close contact,,SB,FK
CH,CH-VD,2020-03-16,,emergency state declared,cantonal,other,,,SB,FK
CH,CH-VD,2020-03-16,,ban on gathering of more than 10 people,cantonal,mass_gatherings,ban of events / mass gatherings of > 10 persons,,SB,FK
CH,CH-VD,2020-03-16,,closure of all non necessary shops,cantonal,private_institutions,closure of private institutions and businesses with close contact,,SB,FK
CH,CH-VD,2020-03-16,,companies must force home office whenever possible,cantonal,mobility,stay-at-home recommendation,,SB,FK
CH,CH-VD,2020-03-16,,companies only need to ask medical certificate after 10 days medical leave,cantonal,other,,,SB,FK
CH,CH-VD,2020-03-16,,ban on hopsital and retirement home visits,cantonal,public_institutions,ban of access to short- and long-term care facilites,,SB,FK
CH,CH-VD,2020-04-01,,plenary sessions suspensed,cantonal,other,,https://www.vd.ch/fileadmin/user_upload/accueil/coronavirus/Point_de_presse_du_Conseil_d%E2%80%99Etat_du_1er_avril_2020_-_Dossier_de_presse.pdf,FK,FK
CH,CH-VD,2020-02-27,,first case detected with testing,cantonal,case_management,testing,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/actualites/news/12509i-coronavirus-premier-cas-detecte-dans-le-canton-de-vaud/,FK,FK
CH,CH-TI,2020-02-08,,"testing started with suspected case, but turned out negative",cantonal,case_management,testing,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187211&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=0ee4d6b6e57e9381ba75e8faf70ace84,FK,FK
CH,CH-TI,2020-02-28,,ban events larger than 1000 persons,cantonal,mass_gatherings,ban of events / mass gatherings of > 1000 persons,,SB,FK
CH,CH-TI,2020-02-28,,meldepflicht for events smaller than 1000 persons,cantonal,mass_gatherings,event permit required,,SB,FK
CH,CH-TI,2020-02-28,,no carnival,cantonal,mass_gatherings,,,SB,FK
CH,CH-TI,2020-02-28,,no ice hockey matches,cantonal,mass_gatherings,,,SB,FK
CH,CH-TI,2020-02-28,,partial Kurzarbeitszeit,cantonal,economic,,,SB,FK
CH,CH-TI,2020-02-28,,canceled Espoprofessioni on 9.03.2020 (Job fair),cantonal,other,,,SB,FK
CH,CH-TI,2020-03-07,,banned events larger than 150 persons,cantonal,mass_gatherings,ban of events / mass gatherings of > 100 persons,,SB,FK
CH,CH-TI,2020-03-07,,at risk groups invited to be careful,cantonal,recommendations,,,SB,FK
CH,CH-TI,2020-03-07,,official BAG flyers must be affixed at entrance of all events,cantonal,other,,,SB,FK
CH,CH-TI,2020-03-11,,ban events larger than 50 persons,cantonal,mass_gatherings,ban of events / mass gatherings of > 50 persons,,SB,FK
CH,CH-TI,2020-03-11,,closure of public places of entertainment and leisure,cantonal,private_institutions,closure of private institutions and businesses with close contact,,SB,FK
CH,CH-TI,2020-03-11,,restaurants and hotels can only host less than 50 persons,cantonal,other,,,SB,FK
CH,CH-TI,2020-03-11,,stato di necessità,cantonal,other,,,SB,FK
CH,CH-TI,2020-03-11,,civil protection only calls non-medical personell,cantonal,other,,,SB,FK
CH,CH-TI,2020-03-11,,recommendation to follow hygiene prescriptions,cantonal,recommendations,,,SB,FK
CH,CH-TI,2020-03-11,,"at risk groups should avoid several activties (childcare, public transport, events)",cantonal,recommendations,,,SB,FK
CH,CH-TI,2020-03-11,,banned sports events,cantonal,mass_gatherings,,,SB,FK
CH,CH-TI,2020-03-11,,social distancing,cantonal,recommendations,,,SB,FK
CH,CH-TI,2020-03-12,,post-obligatory schools close,cantonal,public_institutions,closure of universities,,SB,FK
CH,CH-TI,2020-03-15,,all non-essential stores closed,cantonal,private_institutions,closure of private institutions and businesses with close contact,,SB,FK
CH,CH-TI,2020-03-17,,people invited to stay home unless necessary,cantonal,mobility,stay-at-home recommendation,,SB,FK
CH,CH-TI,2020-03-15,,ban on religious functions,cantonal,mass_gatherings,,,SB,FK
CH,CH-TI,2020-03-15,,ban on public funerals,cantonal,mass_gatherings,,,SB,FK
CH,CH-TI,2020-03-15,,all other economic activities reduced to the minimum,cantonal,economic,,,SB,FK
CH,CH-TI,2020-03-16,,school closure,cantonal,public_institutions,closure of schools,,SB,FK
CH,CH-TI,2020-03-18,,ban on all public and private events,cantonal,mass_gatherings,ban of events / mass gatherings of > 5 persons,,SB,FK
CH,CH-TI,2020-03-18,,all stores must close at 18:00,cantonal,other,,,SB,FK
CH,CH-TI,2020-03-18,,municipal elections moved to 2021,cantonal,other,,https://www4.ti.ch/fileadmin/POTERI/CdS/pubblicazioni_straordinarie/20200318_DE_rinvio_elezioni_comunali_2020.pdf,SB,FK
CH,CH-TI,2020-03-19,,all non-essential  economic and commercial activities closed,cantonal,private_institutions,closure of private institutions and businesses with close contact,,SB,FK
CH,CH-TI,2020-03-27,2020-04-19,all non-essential economic activites are suspended,cantonal,private_institutions,closure of private institutions and businesses with close contact,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1649_Disposizioni_sulla_chiusura_delle_attivita_economiche.pdf,SB,FK
CH,CH-TI,2020-03-27,2020-04-19,public offices are closed,cantonal,public_institutions,closure of public offices and counters,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1649_Disposizioni_sulla_chiusura_delle_attivita_economiche.pdf,SB,FK
CH,CH-TI,2020-03-27,,people over 65 years old cannot access stores,cantonal,other,,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1651_Disposizioni_per_la_popolazione_e_per_chi_ha_compiuto_65_anni.pdf,SB,FK
CH,CH-TI,2020-03-27,2020-04-19,economic activities that can be performed from home are permitted,cantonal,mobility,stay-at-home recommendation,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1649_Disposizioni_sulla_chiusura_delle_attivita_economiche.pdf,SB,FK
CH,CH-TI,2020-03-27,,people over 65 years are invited to stay home,cantonal,mobility,stay-at-home recommendation,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1651_Disposizioni_per_la_popolazione_e_per_chi_ha_compiuto_65_anni.pdf,SB,FK
CH,CH-TI,2020-03-27,2020-04-19,"""stato di necessita"" prolonged until 19 april",cantonal,other,,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1648_Proroga_dello_stato_di_necessita_fino_al_19_aprile.pdf,SB,FK
