"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-AG",2020-03-12,"establishment of a telephone hotline by the cantonal medical association","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139093.jsp","SB","FK"
"CH","CH-AG",2020-03-12,"private clinics and general practitioners are allowed to carry out coronavirus-tests","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139093.jsp","SB","FK"
"CH","CH-AG",2020-03-16,"schools closed","schools",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139102.jsp","SB","FK"
"CH","CH-AG",2020-03-16,"ban on event with more than 100 persons","events",3,NA,"SB","FK"
"CH","CH-AG",2020-03-20,"4 hospitals are designated to recieve critical CoViD-19 patients","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"hospitals with existing ICUs and intermediate care beds must increase their capacity to the maximum","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"in private household we recomend to through PPE, paper towels and hygene items right away in rubbish bags","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"in households with people infected with CoViD-19 or in quarantine all the garbage should be disposed via rubbish bag","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"recycling centers should still remain open, but sanitary measures have to be enforced strictly. Only go to collection points if absolutely necessary. Non-perishable and clean waste for separate collection should be stored at home if possible.","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp","SB","FK"
"CH","CH-AG",2020-04-06,"Werkhof Frick / asylum centre converted into COVID isolation station","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139437.jsp","MBND","FK"
"CH","CH-AG",2020-02-27,"First case detected and quarantined","casemanagement",1,"https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp","FK","FK"
