"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-AR",2020-02-26,"special information provided to educational, health, and social institutions on FOPH measures","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/appenzell-ausserrhoden-ist-vorbereitet/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=c53342e6f2919a27078df5604fede88f","MBND","FK"
"CH","CH-AR",2020-03-11,"suspected cases and vulnerable population are to consult with doctors","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-drei-neue-faelle-in-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=1c5c043b0c2ae95477d83e56f3666138","MBND","FK"
"CH","CH-AR",2020-03-16,"distance learning","schools",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-13,"children are not to be cared for by grandparents","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-13,"events with more than 100 participants banned","events",3,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-13,"restaurants and clubs may not have more than 50 patrons on site","retailgastro",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-13,"events of any size should be avoided","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-13,"visits to hospitals and care institutions are banned","carefacilities",2,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-16,"information hotline established","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND","FK"
"CH","CH-AR",2020-03-13,"hospital capacity increased through support from other healthcare establishments","casemanagement",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-bundesrat-verschaerft-massnahmen-auswirkungen-auf-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=f94dec2b49bf036889ddb1fcbd0197ff","MBND",NA
"CH","CH-AR",2020-03-16,"information flyers distributed via mail","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirus-informationsflyer-und-hotline-fuer-die-ausserrhoder-bevoelkerung/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=8a1437fef7ce64f3aaa272bd05d70bbe","MBND","FK"
