"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-BE",2020-01-29,"recommendation to follow hygiene rules (washing of hands, sneezing into elbow, avoid crowded places)","recommendations",1,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/01/20200129_1543_massnahmen_des_kantons","FK",NA
"CH","CH-BE",2020-02-28,"Event with 1000 or more persons are prohibited, including carneval","events",1,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/02/20200228_1204_alle_grossveranstaltungenwerdenabgesagt","FK",NA
"CH","CH-BE",2020-03-09,"Suspected cases with symptoms are asked to self-isolate until 24 hours after stop of symptoms. Confirmed cases are asked to self-isolate until 48 hours after stop of symptoms, but at least 10 days","casemanagement",1,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200309_1545_corona-9-3","FK",NA
"CH","CH-BE",2020-02-28,"Contact tracing implemented for first COVID case","casemanagement",1,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/02/20200229_0936_corona","FK",NA
"CH","CH-BE",2020-03-09,"Restriction of visiting hours to nursing homes","carefacilities",1,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200309_1545_corona-9-3","FK",NA
"CH","CH-BE",2020-03-13,"Ban of events with 100 or more persons","events",3,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200313_1555_corona-13-3","FK",NA
"CH","CH-BE",2020-03-13,"Restriction of max. 50 persons in Restaurants, Bars and Clubs","retailgastro",1,"https://www.gef.be.ch/gef/de/index/direktion/ueber-die-direktion/medien.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200313_1555_corona-13-3","FK",NA
"CH","CH-BE",2020-03-01,"Recommendation for children to stay at home if they have been staying in a region that has been affected by Covid-19 and/or that have symptoms to stay away from school.","recommendations",1,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.mm.html/portal/de/meldungen/mm/2020/03/20200301_1137_zwei_klassen_in_quarantaenebreiteinformation","FK",NA
"CH","CH-BE",2020-03-13,"Visits in retirement homes are generally forbidden.","carefacilities",2,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.mm.html/portal/de/meldungen/mm/2020/03/20200313_1555_corona-13-3","FK",NA
"CH","CH-BE",2020-03-14,"Skiing region are closed.","publicplaces",1,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200314_1304_berner_skigebieteschliessenheuteabend","FK",NA
"CH","CH-BE",2020-03-16,"Cantonal adminstiration counters partially closed.","publicoffices",1,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.mm.html/portal/de/meldungen/mm/2020/03/20200316_1828_corona_16032020","FK",NA
"CH","CH-BE",2020-03-18,"Visits in institutions for disabled persons and addicts are forbidden.","carefacilities",2,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.mm.html/portal/de/meldungen/mm/2020/03/20200318_1645_kanton_bern_setztmassnahmendesbundesum","FK",NA
"CH","CH-BE",2020-03-18,"Visits in prisons (with execeptions) forbidden.","carefacilities",2,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.mm.html/portal/de/meldungen/mm/2020/03/20200318_1645_kanton_bern_setztmassnahmendesbundesum","FK",NA
"CH","CH-BE",2020-04-02,"establishment of a drive-in corona test center at Bern Expo. Prior registration mandatory","casemanagement",1,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.html/portal/de/meldungen/mm/2020/04/20200402_1043_drive-in_corona-testzentrumgehtinbetrieb","FK",NA
"CH","CH-BE",2020-03-26,"Establishment of online survey for collection of self-reported symptoms and test results by the general population","casemanagement",1,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200326_1115_gruppe_von_jungenforschernstartetlandesweitgeografischedatensamm","FK",NA
"CH","CH-BE",2020-02-28,"First case tested and detected","casemanagement",1,"https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/02/20200229_0936_corona","FK",NA
