"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-BL",2020-03-16,"ban on all public, private and religious events, as well as gatherings with more than 50 people","events",4,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"seniors and individuals with comorbidity are recommended not to supervise children","recommendations",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"seniors and individuals with comorbidity are rocommended not to take part in pubblic or private events","recommendations",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"seniors and individuals with comorbidity are rocommended not to take pubblic transportations except for medical reasons, work or buying groceries","recommendations",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"public transportations, with exception of SBB and taxis, shall take measures to reduce the places per wagon to a maximum of a half the nominal capacity","publictransport",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"shops of non-primary necessity, are closed. Areas of non-primary necessity are to delimit and close in larger shops.","retailgastro",2,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"restaurants, hotels and many other categories are mandated to cease activities","retailgastro",2,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"in hospitals and hospices, the visit of patients at risk is prohibited","carefacilities",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"where possible, the cantonal administration works in home office","publicoffices",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
"CH","CH-BL",2020-03-16,"the public access to buildings of the cantonal administration is reduced to the minimum","publicoffices",1,"www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf","NL","FK"
