"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-FR",2020-03-16,"no in-person teaching in schools","schools",1,"https://www.fr.ch/de/eksd/bildung-und-schulen/obligatorische-schule/freiburger-schulen-verbot-des-praesenzunterrichts-ab-montag-den-16-maerz","SB","FK"
"CH","CH-FR",2020-03-16,"no in-person teaching in universities","universities",1,"https://www.fr.ch/de/eksd/bildung-und-schulen/obligatorische-schule/freiburger-schulen-verbot-des-praesenzunterrichts-ab-montag-den-16-maerz","SB","FK"
"CH","CH-FR",2020-03-17,"state employees who had contact with an infected person must self quarantine","casemanagement",1,"https://www.fr.ch/sites/default/files/2020-03/de_ACE_Coronavirus_d%C3%A9rogation_RPers.pdf","SB","FK"
"CH","CH-FR",2020-03-17,"public offices and counters are closed","publicoffices",1,"https://www.fr.ch/sites/default/files/2020-03/de_ACE_Coronavirus_d%C3%A9rogation_RPers.pdf","SB","FK"
"CH","CH-FR",2020-03-17,"events with more than 50 persons are banned","events",4,"https://www.fr.ch/sites/default/files/2020-03/de_ACT_mesures_contre_COVID-19%20-%20Pour%20la%20FO_PDF.pdf","SB","FK"
"CH","CH-FR",2020-03-17,"day care centers are closed with some exceptions","daycare",1,"https://www.fr.ch/sites/default/files/2020-03/de_ACT_mesures_contre_COVID-19%20-%20Pour%20la%20FO_PDF.pdf","SB","FK"
"CH","CH-FR",2020-03-20,"moving houses is permitted but distancing and hygiene have to be ensured","recommendations",1,"https://www.fr.ch/sites/default/files/2020-03/20200320_OCC_D%C3%A9m%C3%A9nagement-D.pdf","SB","FK"
"CH","CH-FR",2020-03-21,"cantonal public transport is reduced","publictransport",1,"https://www.fr.ch/sites/default/files/2020-03/20200319_CP_Modification%20de%20l%27horaire_coronavirus%20covid-19.pdf","SB","FK"
"CH","CH-FR",2020-03-23,"municipal offices and counters are closed to the public","publicoffices",1,"https://www.fr.ch/sites/default/files/2020-03/200323_de_CDP_OCC_COVID_Communes.pdf","SB","FK"
"CH","CH-FR",2020-03-23,"gatherings of more than five people are no longer tolerated","events",6,"https://www.fr.ch/sites/default/files/2020-03/de_20200320_Communiqu%C3%A9_Rassemblement%205%20personnes.pdf","SB","FK"
"CH","CH-FR",2020-03-26,"recommendations regarding how to dispose of masks, tissues etc","recommendations",1,"https://www.fr.ch/de/covid19/gesundheit/covid-19/nachricht-an-die-oeffentlichkeit-zur-abfallentsorgung","SB","FK"
"CH","CH-FR",2020-03-26,"people should only go to recycling centers when strictly necessary","stayathome",1,"https://www.fr.ch/de/covid19/gesundheit/covid-19/nachricht-an-die-oeffentlichkeit-zur-abfallentsorgung","SB","FK"
"CH","CH-FR",2020-03-30,"creation of cantonal hotline","recommendations",1,"https://www.fr.ch/de/covid19/gesundheit/covid-19/covid-19-eine-neue-hotline-ueber-die-alle-fragen-der-bevoelkerung-zum-alltag-beantwortet-werden","SB","FK"
"CH","CH-FR",2020-03-31,"recommendation regarding contacts with sick people at the end of their lifes and of funerals","casemanagement",1,"https://fr.ch/de/covid19/gesundheit/covid-19/covid-19-richtlinien-zur-begleitung-der-personen-am-lebensende","SB","FK"
"CH","CH-FR",2020-03-01,"first case tested and detected","casemanagement",1,"https://www.fr.ch/sites/default/files/2020-03/200301_commf_dsas_covid_cas_fr.pdf","FK","FK"
