"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-GE",2020-02-26,"Journeys to China are discouraged","recommendations",1,"https://www.ge.ch/actualite/covid-19-recommandations-preventives-26-02-2020","JB","FK"
"CH","CH-GE",2020-02-26,"Returning travellers from China and other affected regions shall contact a doctor in case of symptoms (within 14 days of return)","casemanagement",1,"https://www.ge.ch/actualite/covid-19-recommandations-preventives-26-02-2020","JB","FK"
"CH","CH-GE",2020-02-26,"First case tested positive","casemanagement",1,"https://www.ge.ch/document/premier-cas-covid-19-diagnostique-canton-geneve","FK","FK"
"CH","CH-GE",2020-02-28,"Prohibition of events with more than 1000 participants (following federal decision)","events",1,"https://www.ge.ch/actualite/coronavirus-conseil-federal-interdit-grandes-manifestations-28-02-2020","JB","FK"
"CH","CH-GE",2020-02-28,"cantonal COVID19 hotline is opened","recommendations",1,"https://www.ge.ch/document/0800-909-400-ligne-info-genevoise-dediee-covid-19-ete-activee","JB","FK"
"CH","CH-GE",2020-03-06,"Population is advised to wash hands, follow sneezing etiquette and avoid touching door knobs follow","recommendations",1,"https://www.ge.ch/document/covid-19-informations-generales-rappel-bons-comportements","JB","FK"
"CH","CH-GE",2020-03-06,"Persons showing respiratory symptoms shall stay at home and contact a doctor (but not go to doctor's office)","casemanagement",1,"https://www.ge.ch/document/covid-19-informations-generales-rappel-bons-comportements","JB","FK"
"CH","CH-GE",2020-03-06,"Social distancing is encouraged","recommendations",1,"https://www.ge.ch/document/covid-19-informations-generales-rappel-bons-comportements","JB","FK"
"CH","CH-GE",2020-03-11,"Prohibition of events with more than 100 persons unless attendents are seated with sufficient social distance. Such events need to be announced to the cantonal physician who can cancel them.","events",3,"https://www.ge.ch/document/point-presse-du-conseil-etat-du-11-mars-2020#extrait-19889","JB","FK"
"CH","CH-GE",2020-03-12,"Persons from outside risk groups are discouraged from contacting doctors and hospitals unless health status is severe.","recommendations",1,"https://www.ge.ch/document/covid-19-rappel-du-medecin-cantonal","JB","FK"
"CH","CH-GE",2020-03-12,"Persons showing fever, or cough (as with a cold) shall stay at home until resolution of symptoms, contact doctor only if in risk group","casemanagement",1,"https://www.ge.ch/document/covid-19-rappel-du-medecin-cantonal","JB","FK"
"CH","CH-GE",2020-03-12,"Cantonal debt collection office closed for the general public","publicoffices",1,"https://www.ge.ch/actualite/covid-19-information-office-cantonal-poursuites-12-03-2020","JB","FK"
"CH","CH-GE",2020-03-13,"Population is encouraged to avoid in-person visits to counters of the cantonal administration","recommendations",1,"https://www.ge.ch/actualite/covid-19-privilegier-demarches-administratives-ligne-telephone-courrier-13-03-2020","JB","FK"
"CH","CH-GE",2020-03-13,"Extracurricular activities in schools on Wednesdays are canceled","publicplaces",1,"https://www.ge.ch/actualite/covid-19-suspension-provisoire-activites-extrascolaires-mercredis-13-03-2020","JB","FK"
"CH","CH-GE",2020-03-13,"Cantonal employment office closed","publicoffices",1,"https://www.ge.ch/actualite/covid-19-fermeture-guichets-du-16-mars-au-14-avril-2020-13-03-2020","JB","FK"
"CH","CH-GE",2020-03-13,"Prohibition of events with more than 100 participants (following federal decision)","events",3,"https://www.ge.ch/document/covid-19-mise-oeuvre-mesures-du-conseil-federal","JB","FK"
"CH","CH-GE",2020-03-13,"Restaurants and bars can no longer accommodate more than 50 guests","retailgastro",1,"https://www.ge.ch/document/covid-19-mise-oeuvre-mesures-du-conseil-federal","JB","FK"
