"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-GR",2020-02-28,"ban of events with more than 1000 persons","events",1,"https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2020/Seiten/2020022801.aspx","FK","FK"
"CH","CH-GR",2020-02-29,"cases are in isolation","casemanagement",1,"https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2020/Seiten/2020022901.aspx","FK","FK"
"CH","CH-GR",2020-03-14,"event ban for events larger than 50 persons","events",4,NA,"SB","FK"
"CH","CH-GR",2020-03-14,"ban for religious functions larger than 50 persons","events",4,NA,"SB","FK"
"CH","CH-GR",2020-03-14,"ban on hopsital and retirement home visits","carefacilities",2,NA,"SB","FK"
"CH","CH-GR",2020-03-14,"closure of all leisure and entertainment places","retailgastro",2,NA,"SB","FK"
"CH","CH-GR",2020-03-14,"restaurants and hotels can open if respecting hygiene and distance guidelines","retailgastro",1,NA,"SB","FK"
"CH","CH-GR",2020-03-16,"ski areas must close","publicplaces",1,NA,"SB","FK"
"CH","CH-GR",2020-03-16,"no physical teaching in secondary and tertiary schools","schools",1,NA,"SB","FK"
"CH","CH-GR",2020-03-16,"all non-essential stores and restaurants closed","retailgastro",2,NA,"SB","FK"
"CH","CH-GR",2020-03-17,"partial closure of borders to Austria","mobilityint",1,"https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/aktuell/archiv/Seiten/default.aspx","FK","FK"
"CH","CH-GR",2020-03-20,"reduction of public transport","publictransport",1,"https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/oev-reduziert/Seiten/oev-gr.aspx","FK","FK"
"CH","CH-GR",2020-03-31,"population urged to stay at home, including second home owners","stayathome",1,"https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2020/Seiten/2020033101.aspx","FK","FK"
"CH","CH-GR",2020-02-26,"First case tested and detected","casemanagement",1,"https://www.suedostschweiz.ch/ereignisse/2020-02-26/fuer-gesundheitsamt-ist-corona-in-graubuenden-nur-eine-frage-der-zeit","FK","FK"
