"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-SG",2020-02-06,"hotline activated","recommendations",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1749545883.ocFile/Medienmitteilung%20Information%2006.02..pdf","SB","FK"
"CH","CH-SG",2020-02-25,"hygiene rules for the population published","recommendations",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1391405191.ocFile/Medienmitteilung%20Hygieneregeln%20Coronavirus.pdf","SB","FK"
"CH","CH-SG",2020-03-04,"recommendation to keep social distanc","recommendations",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_861503390.ocFile/Medienmitteilung%20%C3%84nderung%20Weisung%20Veranstaltungen%20SG.pdf","SB","FK"
"CH","CH-SG",2020-03-12,"closure of university, tertiary education should be offered at distance whenever possible","universities",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1010940708.ocFile/Medienmitteilung%20Distance%20Learning%20Hochschulen%20SG.docx.pdf","SB","FK"
"CH","CH-SG",2020-03-14,"restaurants and bars cannot host more than 50 persons","retailgastro",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1028877548.ocFile/Medienmitteilung%20Bundesratsentscheid%20Auswirkungen%20SG.pdf","SB","FK"
"CH","CH-SG",2020-03-16,"restriction on hopsital and retirement home visits","carefacilities",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1226681471.ocFile/Medienmitteilung%20Entscheide%20Regierung%20nach%20Bundesratsentscheid%20SG.pdf","SB","FK"
"CH","CH-SG",2020-03-17,"at risk groups invited to stay home","stayathome",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_59923961.ocFile/Medienmitteilung%20der%20Regierung%20zum%20Coronavirus%20SG.pdf","SB","FK"
"CH","CH-SG",2020-03-16,"cantonal hotline opened","recommendations",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_59923961.ocFile/Medienmitteilung%20der%20Regierung%20zum%20Coronavirus%20SG.pdf","SB","FK"
"CH","CH-SG",2020-03-19,"cantonal services are reduced","publicoffices",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1854498657.ocFile/MM%20Dienstleistungen.pdf","SB","FK"
"CH","CH-SG",2020-03-20,"Gatherings of more than 5 people are prohibited","events",6,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_185449.ocFile/Medienmitteilung%20Reaktion%20Versammlungseinschr%C3%A4nkung%20SG.pdf","FK",NA
"CH","CH-SG",2020-03-30,"Establishment of 3 consultatio centers for suspected cases","casemanagement",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_381305564.ocFile/Medienmitteilung%20%20Konsultationszentren%20%20SG.pdf","FK",NA
"CH","CH-SG",2020-03-04,"First case tested and detected","casemanagement",1,"https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_2107566367.ocFile/Medienmitteilung%20Best%C3%A4tigter%20Corona-Fall%20Kanton%20SG%20Web.pdf","FK","FK"
