"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-SO",2020-03-06,"Canton provides information and access to experts to responsibles of old people's homes","recommendations",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/update-covid-19-aktuelle-situation-und-neue-kampagne/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=00089e37504e860fcf25e1dca552c5b0","JB","FK"
"CH","CH-SO",2020-03-09,"launched the campaign #Seifenboss, with guidelines for schools, daycares and parents","recommendations",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/update-covid-19-aktuelle-situation-und-neue-kampagne/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=00089e37504e860fcf25e1dca552c5b0","NL","FK"
"CH","CH-SO",2020-03-13,"public or private events with 100 people or more are forbidden","events",3,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/verschaerfte-massnahmen-im-kampf-gegen-das-neue-coronavirus/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=66b031148c9a2c08eae4e4bdd5d2c68e","NL","FK"
"CH","CH-SO",2020-03-15,"daycare centers, after-school clubs and play groups have to stop regular operations","daycare",1,"https://so.ch/fileadmin/internet/staatskanzlei/stk-komm/Dokumente/2020/03_Maerz/Schliessung_Kitas_Horte_und_Spielgruppen.pdf","NL/JB","FK"
"CH","CH-SO",2020-03-16,"all schools are closed","schools",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/verschaerfte-massnahmen-im-kampf-gegen-das-neue-coronavirus/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=66b031148c9a2c08eae4e4bdd5d2c68e","NL/JB","FK"
"CH","CH-SO",2020-03-16,"All kidergardens and daycare centers closed","daycare",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/kindertagesstaetten-horte-und-spielgruppen-muessen-den-regulaeren-betrieb-einstellen/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=aa7ffa01dcbf9fa59cb8e11e331030e3","NL","FK"
"CH","CH-SO",2020-03-16,"visit ban in hospitals and hospices","carefacilities",2,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/verschaerfte-massnahmen-im-kampf-gegen-das-neue-coronavirus/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=66b031148c9a2c08eae4e4bdd5d2c68e","NL","FK"
"CH","CH-SO",2020-03-17,"contact cantonal offices can be visited only by telephonic agreement and direct invitation","publicoffices",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/kanton-solothurn-schraenkt-direkten-buergerkontakt-ein/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=b4b0e5937fa211ed5add692f90d77ff0","NL","FK"
"CH","CH-SO",2020-03-21,"appeal to the elderly, if you're older that 65 stay at home, with flyer distributed by members of the civil protection","stayathome",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/covid-19-appell-an-die-seniorinnen-und-senioren/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=0790e271db3e943a036bee5efbaaac72","JB","FK"
"CH","CH-SO",2020-03-23,"Opening of an ambulant testing center in Breitenbach","casemanagement",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/coronavirus-ueberkantonale-zusammenarbeit-bei-der-gesundheitsversorgung/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fce21600ac3e1b1679acbba0cc3b81b6","JB","FK"
"CH","CH-SO",2020-03-23,"Mobile testing teams of canton Basel-Landschaft also cover districts of Dorneck and Thierstein","casemanagement",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/coronavirus-ueberkantonale-zusammenarbeit-bei-der-gesundheitsversorgung/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fce21600ac3e1b1679acbba0cc3b81b6","JB","FK"
"CH","CH-SO",2020-04-02,"Facility for elderly infected established at Allerheiligenberg","casemanagement",1,"https://so.ch/staatskanzlei/medien/medienmitteilung/news/covid-19-pandemie-enorme-herausforderungen-und-grosse-solidaritaet-im-kanton-solothurn/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=25500e417748f9cf26c7983be19f65b9","JB","FK"
"CH","CH-SO",2020-03-06,"First case tested and detected","casemanagement",1,"https://so.ch/startseite/aktuell/news/update-covid-19-aktuelle-situation-und-neue-kampagne/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=a1000306da9fe5ec6c99f46db292e681","FK","FK"
