"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-SZ",2020-02-28,"Prohibition of events with more than 1000 participants (following federal decision)","events",1,"https://www.sz.ch/public/upload/assets/45314/MM_Coronavirus_28_2_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-05,"No more public or internal events in old people's homes","carefacilities",1,"https://www.sz.ch/public/upload/assets/45412/MM_Coronavirus_5_3_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-05,"Entry controls for visitors in old people's homes","carefacilities",1,"https://www.sz.ch/public/upload/assets/45412/MM_Coronavirus_5_3_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-06,"Persons showing symmptoms are asked to contact doctors by phone rather than going directly to the hospital","recommendations",1,"https://www.sz.ch/public/upload/assets/45417/MM_Coronavirus_6_3_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-16,"Closure of schools","schools",1,"https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-13,"Prohibition of events with more than 100 participants (ecept in case of important public interest)","events",3,"https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-13,"Restaurants, Bars and Clubs must not host more than 50 persons in the same room.","retailgastro",1,"https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-16,"Prohibition of visits in hospitals","carefacilities",2,"https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-16,"Prohibition of visits in ol people's homes","carefacilities",2,"https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-16,"Colsure of all non-essential shops and businesses (following federal decision)","retailgastro",2,"https://www.sz.ch/public/upload/assets/45697/MM_Josefstag.pdf","JB","FK"
"CH","CH-SZ",2020-03-17,"Cantonal COVID19 hotline launched","recommendations",1,"https://www.sz.ch/public/upload/assets/45637/MM_KFS_Corona_17_3_2020.pdf","JB","FK"
"CH","CH-SZ",2020-04-02,"Posters recalling regulations provided to districts and municipalities for installation in public spaces","recommendations",1,"https://www.sz.ch/public/upload/assets/45869/MM_KFS_Corona_02_04_2020.pdf","JB","FK"
"CH","CH-SZ",2020-03-17,"Counters of trade register closed","publicoffices",1,"https://www.sz.ch/unternehmen/handelsregister/aktuelles.html/72-443-4442-6684","JB","FK"
"CH","CH-SZ",2020-03-19,"Verkehrsamt closed","publicoffices",1,"https://www.sz.ch/privatpersonen/mobilitaet-verkehr/verkehrsamt/formulare.html/72-512-450-446-7020","JB","FK"
"CH","CH-SZ",2020-03-04,"cases are in self-isolation at home","casemanagement",1,"https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf","FK","FK"
"CH","CH-SZ",2020-03-03,"First cases tested positive","casemanagement",1,"https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf","FK","FK"
