"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-TI",2020-02-08,"testing started with suspected case, but turned out negative","casemanagement",1,"https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187211&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=0ee4d6b6e57e9381ba75e8faf70ace84","FK","FK"
"CH","CH-TI",2020-02-28,"ban events larger than 1000 persons","events",1,NA,"SB","FK"
"CH","CH-TI",2020-03-07,"banned events larger than 150 persons","events",3,NA,"SB","FK"
"CH","CH-TI",2020-03-07,"at risk groups invited to be careful","recommendations",1,NA,"SB","FK"
"CH","CH-TI",2020-03-11,"ban events larger than 50 persons","events",4,NA,"SB","FK"
"CH","CH-TI",2020-03-11,"closure of public places of entertainment and leisure","retailgastro",2,NA,"SB","FK"
"CH","CH-TI",2020-03-11,"recommendation to follow hygiene prescriptions","recommendations",1,NA,"SB","FK"
"CH","CH-TI",2020-03-11,"at risk groups should avoid several activties (childcare, public transport, events)","recommendations",1,NA,"SB","FK"
"CH","CH-TI",2020-03-11,"social distancing","recommendations",1,NA,"SB","FK"
"CH","CH-TI",2020-03-12,"post-obligatory schools close","universities",1,NA,"SB","FK"
"CH","CH-TI",2020-03-15,"all non-essential stores closed","retailgastro",2,NA,"SB","FK"
"CH","CH-TI",2020-03-17,"people invited to stay home unless necessary","stayathome",1,NA,"SB","FK"
"CH","CH-TI",2020-03-16,"school closure","schools",1,NA,"SB","FK"
"CH","CH-TI",2020-03-18,"ban on all public and private events","events",6,NA,"SB","FK"
"CH","CH-TI",2020-03-19,"all non-essential economic and commercial activities closed","retailgastro",2,NA,"SB","FK"
"CH","CH-TI",2020-03-27,"all non-essential economic activites are suspended","retailgastro",2,"https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1649_Disposizioni_sulla_chiusura_delle_attivita_economiche.pdf","SB","FK"
"CH","CH-TI",2020-03-27,"public offices are closed","publicoffices",1,"https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1649_Disposizioni_sulla_chiusura_delle_attivita_economiche.pdf","SB","FK"
"CH","CH-TI",2020-03-27,"economic activities that can be performed from home are permitted","stayathome",1,"https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1649_Disposizioni_sulla_chiusura_delle_attivita_economiche.pdf","SB","FK"
"CH","CH-TI",2020-03-27,"people over 65 years are invited to stay home","stayathome",1,"https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200327_RG_1651_Disposizioni_per_la_popolazione_e_per_chi_ha_compiuto_65_anni.pdf","SB","FK"
