"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-UR",2020-03-11,"population invited to respect hygiene measures","recommendations",1,"https://www.ur.ch/mmdirektionen/63371","SB","FK"
"CH","CH-UR",2020-03-13,"ban on visit in hospitals and retirement homes","carefacilities",2,"https://www.ur.ch/mmdirektionen/63554","SB","FK"
"CH","CH-UR",2020-03-17,"distance learning in schools","schools",1,"https://www.ur.ch/mmregierungsrat/63700","SB","FK"
"CH","CH-UR",2020-03-17,"keep at least two meters distance","recommendations",1,"https://www.ur.ch/_docn/206842/COVID-19-Verordnung_2_des_Bundesrates_Umsetzung_Kanton_Uri.pdf","SB","FK"
"CH","CH-UR",2020-03-17,"avoid meeting groups larger than five persons","recommendations",1,"https://www.ur.ch/_docn/206842/COVID-19-Verordnung_2_des_Bundesrates_Umsetzung_Kanton_Uri.pdf","SB","FK"
"CH","CH-UR",2020-03-17,"event ban","events",6,"https://www.ur.ch/_docn/206842/COVID-19-Verordnung_2_des_Bundesrates_Umsetzung_Kanton_Uri.pdf","SB","FK"
"CH","CH-UR",2020-03-17,"all non-necessary stores must close","retailgastro",2,"https://www.ur.ch/_docn/206842/COVID-19-Verordnung_2_des_Bundesrates_Umsetzung_Kanton_Uri.pdf","SB","FK"
"CH","CH-UR",2020-03-18,"population invited to self-isolation in case of symptoms","casemanagement",1,"https://www.ur.ch/mmdirektionen/63802","SB","FK"
"CH","CH-UR",2020-03-20,"movement restrictions for people above 65 years old","stayathome",1,"https://www.ur.ch/mmdirektionen/63880","SB","FK"
"CH","CH-UR",2020-03-23,"population invited to use public transport only if strictly necessary","recommendations",1,"https://www.ur.ch/mmdirektionen/63865","SB","FK"
"CH","CH-UR",2020-02-26,"first suspected case","casemanagement",1,"https://www.luzernerzeitung.ch/zentralschweiz/uri/erster-corona-verdachtsfall-in-uri-ld.1198543","FK","FK"
