"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-VS",2020-02-24,"Telefone information service for general population and returning travellers launched","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6724902","JB","FK"
"CH","CH-VS",2020-02-24,"Travellers to Italy and other affected regions shall contact hotline to get informed about situation","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6724902","JB","FK"
"CH","CH-VS",2020-02-24,"Encouragement of sneezing etiquette and handwashing","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6724902","JB","FK"
"CH","CH-VS",2020-02-24,"Recommendation to avoid contact with persons showing respiratory symptoms","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6724902","JB","FK"
"CH","CH-VS",2020-02-24,"Persons showing respiratory symptoms shall stay at home and contact doctors by phone","casemanagement",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6724902","JB","FK"
"CH","CH-VS",2020-02-28,"Prohibition of events with more than 1000 participants (following ederal decision)","events",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6758628","JB","FK"
"CH","CH-VS",2020-03-03,"Cantonal COVID19 hotline launched","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6795999","JB","FK"
"CH","CH-VS",2020-03-10,"Members of risk groups shall avoid public transport, shopping at peak hors, public events and unnecessary social contacts, in particular with persons showing symptoms","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6855109","JB","FK"
"CH","CH-VS",2020-03-10,"Members of risk groups showing symptoms shall contact a doctor","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6855109","JB","FK"
"CH","CH-VS",2020-03-10,"Closure of day care facilities for elderly people","carefacilities",2,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6855109","JB","FK"
"CH","CH-VS",2020-03-10,"Visits to hospitals and old people's homes to be reduced to a minimum","carefacilities",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6855109","JB","FK"
"CH","CH-VS",2020-03-10,"Persons showing symptoms shall stay at home and contact doctors/hospitals before going there.","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6855109","JB","FK"
"CH","CH-VS",2020-03-13,"Closure of day care for children","daycare",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
"CH","CH-VS",2020-03-13,"Prohibition of events with more than 50 persons (exceptions for events of important public concern possible)","events",4,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
"CH","CH-VS",2020-03-13,"Recommendation to avoid all activities with less than 50 participants, incl professional, cultural and sporting activities","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
"CH","CH-VS",2020-03-13,"Closure of cultural, entertainment and sports facilities (cinemas, theatres, gyms, bars, wimming pools, ski ressorts etc)","retailgastro",2,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
"CH","CH-VS",2020-03-13,"Restaurants cannot accommodate more than 50 persons in one room","retailgastro",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
"CH","CH-VS",2020-03-13,"Prohibition of non-essential visits to medical and socio-medical facilities","carefacilities",2,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
"CH","CH-VS",2020-03-13,"Recommendation to limit contact to members of risk groups","recommendations",1,"https://www.vs.ch/de/web/communication/detail?groupId=529400&articleId=6900389","JB","FK"
