"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-ZG",2020-02-28,"ban events larger than 1000 persons","events",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/amt-fuer-gesundheit/aktuell/coronavirus-massnahmen-im-kanton-zug","MBND","FK"
"CH","CH-ZG",2020-03-03,"contact tracing","casemanagement",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-kanton-zug-haelt-an-contact-tracing-fest","MBND","FK"
"CH","CH-ZG",2020-03-03,"symptomatic people should stay at home","casemanagement",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-covid-19-meldepflicht-fuer-veranstaltungen-im-kanton-zug","MBND","FK"
"CH","CH-ZG",2020-03-09,"suspected cases of respiratory disease are to stay home until 24h after symptoms disappear","casemanagement",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-schutz-von-besonders-gefaehrdeten-personen-im-fokus","MBND","FK"
"CH","CH-ZG",2020-03-09,"focused testing / not widespread","casemanagement",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-schutz-von-besonders-gefaehrdeten-personen-im-fokus","MBND","FK"
"CH","CH-ZG",2020-03-09,"testing capacity expanded to allow GPs to conduct tests","casemanagement",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-schutz-von-besonders-gefaehrdeten-personen-im-fokus","MBND","FK"
"CH","CH-ZG",2020-03-13,"ban gatherings of more than 100 people","events",3,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-kanton-zug-stellt-sich-hinter-massnahmen-des-bundes","MBND","FK"
"CH","CH-ZG",2020-03-16,"hospital visitation ban","carefacilities",2,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/covid-19-zuger-spitaeler-bereiten-sich-gemeinsam-auf-herausfordernde-zeit-vor","MBND","FK"
"CH","CH-ZG",2020-03-16,"nursing home visitation ban","carefacilities",2,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/covid-19-zuger-spitaeler-bereiten-sich-gemeinsam-auf-herausfordernde-zeit-vor","MBND","FK"
"CH","CH-ZG",2020-03-16,"school closure / distance learning in place","schools",1,"https://www.zg.ch/behoerden/direktion-fur-bildung-und-kultur/direktionssekretariat/aktuell/wechsel-zum-fernunterricht-im-kanton-zug","MBND","FK"
"CH","CH-ZG",2020-03-16,"after school care closed","schools",1,"https://www.zg.ch/behoerden/direktion-des-innern/direktionssekretariat/aktuell/massnahmen-und-organisation-von-schule-und-betreuung-im-kanton-zug","MBND","FK"
"CH","CH-ZG",2020-03-16,"closure of higher education facilities / distance learning in place","universities",1,"https://www.zg.ch/behoerden/direktion-fur-bildung-und-kultur/direktionssekretariat/aktuell/wechsel-zum-fernunterricht-im-kanton-zug","MBND","FK"
"CH","CH-ZG",2020-03-17,"job centre appointments to be held via telephone only","publicoffices",1,"https://www.zg.ch/behoerden/volkswirtschaftsdirektion/direktionssekretariat/aktuell/massnahmen-betreffend-coronavirus-beim-vam","MBND","FK"
"CH","CH-ZG",2020-03-17,"job centres closed","publicoffices",1,"https://www.zg.ch/behoerden/volkswirtschaftsdirektion/direktionssekretariat/aktuell/massnahmen-betreffend-coronavirus-beim-vam","MBND","FK"
"CH","CH-ZG",2020-03-17,"job centres communication to only be via mail (post or electronic) telephone","publicoffices",1,"https://www.zg.ch/behoerden/volkswirtschaftsdirektion/direktionssekretariat/aktuell/massnahmen-betreffend-coronavirus-beim-vam","MBND","FK"
"CH","CH-ZG",2020-03-20,"social homes for people with disabilities visitation ban","carefacilities",2,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-ausreichende-testkapazitaeten-im-kanton-zug-vorhanden","MBND","FK"
"CH","CH-ZG",2020-03-20,"people aged 65 and above should not leave their homes","stayathome",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-ausreichende-testkapazitaeten-im-kanton-zug-vorhanden","MBND","FK"
"CH","CH-ZG",2020-03-20,"vulnerable groups should only contact others via telephone or internet","stayathome",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-ausreichende-testkapazitaeten-im-kanton-zug-vorhanden","MBND","FK"
"CH","CH-ZG",2020-04-02,"retirement home station (not sure what this is) isolated from rest of home","casemanagement",1,"https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/corona-infektionen-und-todesfall-in-zuger-pflegeheim","MBND","FK"
