date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-02-28,NA,events with between 150 and 999 people are subjects to authorization,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_138709.jsp,NA
2020-03-12,NA,establishment of a telephone hotline by the cantonal medical association,private,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139093.jsp,NA
2020-03-12,NA,private clinics and general practitioners are allowed to carry out coronavirus-tests,cantonal,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139093.jsp,NA
2020-03-16,NA,schools closed,cantonal,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139102.jsp,NA
2020-03-18,NA,the meeting of the grand council of 28.04.2020 does not take place,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139169.jsp,NA
2020-03-18,NA,the parlamentary fraction (grand council) of 12.05.2020 is cancelled,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139169.jsp,NA
2020-03-18,NA,no parlamentary (grand council) commission meeting take place,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139169.jsp,NA
2020-03-19,NA,"construction sites are still allowed, but employers are mandated to enforce sanitary measures",canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139210.jsp,NA
2020-03-20,NA,all acute hospitals with a performace mandate are obliged to recieve CoViD-19 patients,cantonal,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp,NA
2020-03-20,NA,4 hospitals are designated to recieve critical CoViD-19 patients,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp,NA
2020-03-20,NA,hospitals with existing ICUs must increase their capacity to the maximum,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp,NA
2020-03-20,NA,hospitals with intermediate care beds must increase their capacity to the maximum,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp,NA
2020-03-20,NA,all acute hospitals must postpone all non essential operation and diminish the number of operation rooms in order to free respirators for ICUs,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp,NA
2020-03-20,NA,regional hospital relieve acute hospitals by treating light CoViD-19 cases,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp,NA
2020-03-20,NA,"in private household we recomend to through PPE, paper towels and hygene items right away in rubbish bags",canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp,NA
2020-03-20,NA,in households with people infected with CoViD-19 or in quarantine all the garbage should be disposed via rubbish bag,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp,NA
2020-03-20,NA,Only go to collection points if absolutely necessary. Non-perishable and clean waste for separate collection should be stored at home if possible.,canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp,NA
2020-03-20,NA,"recycling centers should still remain open, but sanitary measures have to be enforced strictly",canton,AG,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp,NA
2020-03-16,NA,school closed,canton,AG,NA,NA
2020-03-16,NA,ban on event with more than 100 persons,canton,AG,NA,NA
2020-03-19,NA,construction work can stay open,canton,AG,NA,NA
