date_implemented, date_lifted, measure, level, unit, source
16.03.2020, 30.04.2020, "ban on all public, private and religious events, as well as gatherings with more than 50 people", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "the council of state can allow events of pubblic interest with more than 50 people", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "ban on all activities for associations and similar organizations like sport events, trainings and rehersals", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "seniors and individuals with comorbidity are recommended not to supervise children", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "seniors and individuals with comorbidity are rocommended not to take part in pubblic or private events", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "seniors and individuals with comorbidity are rocommended not to take pubblic transportations except for medical reasons, work or buying groceries", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "public transportations, with exception of SBB and taxis, shall take measures to reduce the places per wagon to a maximum of a half the nominal capacity", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "shops of non-primary necessity, are closed. Areas of non-primary necessity are to delimit and close in larger shops.", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "shops of primary necessity are asked to guarantee social distancing (BAG: 1 person / 4m2)", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
16.03.2020, 30.04.2020, "restaurants, hotels and many other categories are mandated to cease activities", canton, BL, //www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-beschliesst-weitergehende-massnahmen-um-die-ausbreitung-des-coronavirus-einzudaemmen/pdf/weitere-massnahmen-covid19-rrb.pdf/@@download/file/Weitere-Massnahmen-Covid19_RRB.pdf
