date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-02-27,NA,Start BAG information campaign,federal,CH,NA,NA
2020-02-28,NA,ban on events with more than 1000 persons,federal,CH,NA,NA
2020-02-28,NA,for events with less than 1000 persons an evaluation with cantonal authorities is required,federal,CH,NA,NA
2020-03-02,NA,Updated BAG information campaign,federal,CH,NA,NA
2020-03-03,NA,Testing covered by health insurance,federal,CH,NA,NA
2020-03-16,NA,swiss army stops recruitment,federal,CH,NA,NA
2020-03-16,NA,avoid all necessary tranposrt,federal,CH,NA,NA
2020-03-13,NA,entry ban from high risk countries,federal,CH,NA,NA
2020-03-13,NA,event with less than 1000 persons can be held if percautions are taken,federal,CH,NA,NA
2020-03-16,NA,event ban for events larger than 100 persons,federal,CH,NA,NA
2020-03-16,NA,"restaurants, nightclubs and bars cannot host more than 50 persons",federal,CH,NA,NA
2020-03-16,NA,events with less than 100 persons are permitted under special hygiene and distance conditons,federal,CH,NA,NA
2020-03-16,NA,school closure,federal,CH,NA,NA
2020-03-17,NA,closure of non necessary stores,federal,CH,NA,NA
2020-03-17,NA,explicit social distancing,federal,CH,NA,NA
2020-03-17,NA,event ban,federal,CH,NA,NA
2020-03-13,NA,"the cantons must provide information on hopspital beds, ICU, medical material etc",federal,CH,NA,NA
2020-03-14,NA,the use of eye protective gear is recommended,federal,CH,NA,NA
2020-03-14,NA,the use of surgical masks is recommended for all medical and care personel,federal,CH,NA,NA
2020-03-14,NA,the use of FFP2/FFP3 masks is recommended for all procedures with risk of areosol formation,federal,CH,NA,NA
2020-03-14,NA,the use of surgical masks is not recommended for the population,federal,CH,NA,NA
2020-03-19,NA,SBB greatly reduces train services,federal,CH,NA,NA
