date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-02-27,NA,engadin skimarathon cancelled,private,GR,NA,NA
2020-02-27,NA,ban on school trips,canton,GR,NA,NA
2020-03-13,NA,ausserordentliche Lage,canton,GR,NA,NA
2020-03-14,NA,event ban for events larger than 50 persons,canton,GR,NA,NA
2020-03-14,NA,ban for religious functions larger than 50 persons,canton,GR,NA,NA
2020-03-14,NA,ban on hopsital and retirement home visits,canton,GR,NA,NA
2020-03-14,NA,closure of all leisure and entertainment places,canton,GR,NA,NA
2020-03-14,NA,restaurants and hotels can open if respecting hygiene and distance guidelines,canton,GR,NA,NA
2020-03-16,NA,ski areas must close,canton,GR,NA,NA
2020-03-14,NA,hospitals cannot perform non-lifesaving or urgent procedure,canton,GR,NA,NA
2020-03-16,NA,no physical teaching in secondary and tertiary schools,canton,GR,NA,NA
2020-03-16,NA,civil service employees must work from home when possible,canton,GR,NA,NA
2020-03-16,NA,all non-essential stores and restaurants closed,canton,GR,NA,NA
