date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-03-20,NA,appeal to younger population to stay at home,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Message-aux-jeunes-evitez-tout-rassemblement.html,NA
2020-03-20,NA,communal ballots of 22.03.2020 and 29.03.2020 posponed indefinitely,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Report-des-scrutins-communaux-jusqu-a-nouvel-avis.html,NA
2020-03-20,NA,reduction of certain administrative obligations,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-Reduction-de-certaines-obligations-administratives.html,NA
2020-03-09,NA,establishment of a second hotline dedicated to population health,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Coronavirus-COVID-19-mise-en-place-d-une-deuxieme-hotline-dediee-a-la-sante-de-la-population.html,NA
2020-03-12,NA,ban on visit to hospitals and hospices,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Mesures-pour-preserver-les-personnes-agees-du-COVID-19-dans-les-institutions-jurassiennes-de-soins.html,NA
2020-03-12,NA,the 'samedi des bibliothèques is cancelled for 2020,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Le-Samedi-des-bibliotheques-n-aura-pas-lieu-cette-annee-dans-le-Jura.html,NA
2020-03-16,NA,all schools and daycares are closed,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-d-importantes-mesures-supplementaires-pour-proteger-la-sante-de-la-population.html,NA
2020-03-14,NA,'childcare / education / training' hotline set up,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-d-importantes-mesures-supplementaires-pour-proteger-la-sante-de-la-population.html,NA
2020-03-13,NA,gatherings of more than 100 people are prohibited,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-d-importantes-mesures-supplementaires-pour-proteger-la-sante-de-la-population.html,NA
2020-03-16,NA,"with the exception of health and social institutions and stores of prime necessity, all establishment have to close",cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,"all public, private and religios gatherings of more that 50 people, both inside and outside are forbidden",cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,all the counters of the cantonal and communal administrations are in principle closed,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,companies and institutions take all measures indicated by BAG that can be reasonably implemented,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,"managers of shops and public establishments still in operation display, in a conspicuous way, the hygiene measures",cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,companies and institutions are urged to request medical certificates for the absence of their employees only from the 8th day of absence,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,"the population is urged, as far as possible, to reduce physical social contact, to strictly observe the hygiene rules recommended by the BAG",cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html,NA
2020-03-16,NA,the week of the french language is cancelled,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/La-Semaine-de-la-langue-francaise-dans-le-Jura-n-aura-pas-lieu.html,NA
2020-03-18,NA,ban on gatherings of more than 5 people,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html,NA
2020-03-18,NA,stores selling goods of prime necessity have to guarantee measures of social distancing,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html,NA
2020-03-18,NA,all private enterprise are invited to reduce their activity to the strict necessary,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html,NA
2020-03-18,NA,admission to childcare facilities is limited to children who cannot benefit from a private daycare solution,cantonal,JU,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html,NA
2020-03-17,NA,Ban gatherings of more than 5 people,canton,JU,NA,NA
