date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-02-06,NA,persons returning from China and showing symptomps must contact their doctos,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1749545883.ocFile/Medienmitteilung%20Information%2006.02..pdf,NA
2020-02-06,NA,hotline activated,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1749545883.ocFile/Medienmitteilung%20Information%2006.02..pdf,NA
2020-02-25,NA,hygiene rules for the population published,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1391405191.ocFile/Medienmitteilung%20Hygieneregeln%20Coronavirus.pdf,NA
2020-02-28,NA,ice hockey match HC Lugano vs  SC Rapperswil-Jona Lakers is played without spectators,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_111491988.ocFile/Medienmitteilung%20Match%20SC%20Rapperswil-Jona%20Lakers.pdf,NA
2020-02-28,NA,no specific measures for events with less than 1000 persons,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download.ocFile/Medienmitteilung%20Weisung%20Anl%C3%A4sse.pdf,NA
2020-03-04,NA,events with more than 150 persons must register online,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_861503390.ocFile/Medienmitteilung%20%C3%84nderung%20Weisung%20Veranstaltungen%20SG.pdf,NA
2020-03-04,NA,recommendation to keep social distanc,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_861503390.ocFile/Medienmitteilung%20%C3%84nderung%20Weisung%20Veranstaltungen%20SG.pdf,NA
2020-03-10,NA,event organisers don't have to ask if participants came from risk areas as all areas are considered at risk,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_187632073.ocFile/Medienmitteilung%20Anpassung%20Weisung%20Veranstaltungen%20SG.pdf,NA
2020-03-12,NA,tertiary education should be offered at distance whenever possible,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1010940708.ocFile/Medienmitteilung%20Distance%20Learning%20Hochschulen%20SG.docx.pdf,NA
2020-03-14,NA,distance teachins,canton,SG,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1028877548.ocFile/Medienmitteilung%20Bundesratsentscheid%20Auswirkungen%20SG.pdf,NA
