date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-02-28,NA,no carnival,canton,TI,NA,NA
2020-02-28,NA,no ice hockey matches,canton,TI,NA,NA
2020-02-28,NA,ban events larger than 1000 persons,canton,TI,NA,NA
2020-02-28,NA,meldepflicht for events smaller than 1000 persons,canton,TI,NA,NA
2020-02-28,NA,partial Kurzarbeitszeit,canton,TI,NA,NA
2020-02-28,NA,canceled Espoprofessioni on 9.03.2020 (Job fair),canton,TI,NA,NA
2020-03-07,NA,banned events larger than 150 persons,canton,TI,NA,NA
2020-03-07,NA,at risk groups invited to be careful,canton,TI,NA,NA
2020-03-07,NA,official BAG flyers must be affixed at entrance of all events,canton,TI,NA,NA
2020-03-11,NA,stato di necessità,canton,TI,NA,NA
2020-03-11,NA,civil protection only calls non-medical personell,canton,TI,NA,NA
2020-03-11,NA,recommendation to follow hygiene prescriptions,canton,TI,NA,NA
2020-03-11,NA,"at risk groups should avoid several activties (childcare, public transport, events)",canton,TI,NA,NA
2020-03-11,NA,closure of public places of entertainment and leisure,canton,TI,NA,NA
2020-03-11,NA,banned sports events,canton,TI,NA,NA
2020-03-11,NA,restaurants and hotels can only host less than 50 persons,canton,TI,NA,NA
2020-03-11,NA,social distancing,canton,TI,NA,NA
2020-03-11,NA,ban events larger than 50 persons,canton,TI,NA,NA
2020-03-11,NA,schools stay open,canton,TI,NA,NA
2020-03-12,NA,post-obligatory schools close,canton,TI,NA,NA
2020-03-15,NA,people invited to stay home unless necessary,canton,TI,NA,NA
2020-03-15,NA,ban events larger than 30 persons,canton,TI,NA,NA
2020-03-15,NA,school closure,canton,TI,NA,NA
2020-03-15,NA,school can offer daycare services,canton,TI,NA,NA
2020-03-15,NA,ban on religious functions,canton,TI,NA,NA
2020-03-15,NA,ban on public funerals,canton,TI,NA,NA
2020-03-15,NA,all non-essential stores closed,canton,TI,NA,NA
2020-03-15,NA,all other economic activities reduced to the minimum,canton,TI,NA,NA
2020-03-19,NA,all economic and commercial activities closed,canton,TI,NA,NA
2020-03-18,NA,all stores must close at 18:00,canton,TI,NA,NA
2020-03-18,NA,municipal elections moved to 2021,canton,TI,NA,NA
2020-03-18,NA,ban on all public and private events,canton,TI,NA,NA
