date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-03-16,NA,emergency state declared,canton,VD,NA,NA
2020-03-16,NA,ban on all events,canton,VD,NA,NA
2020-03-16,NA,ban on gathering of more than 10 people,canton,VD,NA,NA
2020-03-16,NA,ban all sports that don't allow distancing,canton,VD,NA,NA
2020-03-16,NA,ban on religious functions with more than 10 people,canton,VD,NA,NA
2020-03-16,NA,closure of all non necessary shops,canton,VD,NA,NA
2020-03-16,NA,companies must force home office whenever possible,canton,VD,NA,NA
2020-03-16,NA,companies only need to ask medical certificate after 10 days medical leave,canton,VD,NA,NA
2020-03-16,NA,ban on hopsital and retirement home visits,canton,VD,NA,NA
2020-03-13,NA,distance teaching,canton,VD,NA,NA
2020-03-13,NA,ban on events with more than 50 persons,canton,VD,NA,NA
2020-03-13,NA,closure of all leisure and entertainment places,canton,VD,NA,NA
