date_implemented,date_lifted,measure,level,unit
27.02.2020,,engadin skimarathon cancelled,private,GR
28.02.2020,15.03.2020,ban on events with more than 1000 persons,federal,CH
28.02.2020,15.03.2020,for events with less than 1000 persons an evaluation with cantonal authorities is required,federal,CH
28.02.2020,,no carnival,canton,TI
28.02.2020,,no ice hockey matches,canton,TI
28.02.2020,,ban events larger than 1000 persons,canton,TI
28.02.2020,,meldepflicht for events smaller than 1000 persons,canton,TI
28.02.2020,,partial Kurzarbeitszeit,canton,TI
28.02.2020,,canceled Espoprofessioni on 9.03.2020 (Job fair),canton,TI
07.03.2020,,banned events larger  than 150 persons,canton,TI
07.03.2020,,at risk groups invited to be careful,canton,TI
07.03.2020,,official BAG flyers must be affixed at entrance of all events,canton,TI
11.03.2020,29.03.2020,stato di necessità ,canton,TI
11.03.2020,,civil protection only calls non-medical personell,canton,TI
11.03.2020,,recommendation to follow hygiene prescriptions,canton,TI
11.03.2020,,"at risk groups should avoid several activties (childcare, public transport, events)",canton,TI
11.03.2020,,closure of public places of entertainment and leisure,canton,TI
11.03.2020,,banned sports events ,canton,TI
11.03.2020,,restaurants and hotels can only host less than 50 persons,canton,TI
11.03.2020,,social distancing,canton,TI
11.03.2020,,ban events larger than 50 persons,canton,TI
11.03.2020,,schools stay open,canton,TI
12.03.2020,29.03.2020,post-obligatory schools close,canton,TI
13.03.2020,,entry ban from high risk countries, federal,CH
13.03.2020,,event with less than 1000 persons can be held if percautions are taken,federal,CH
16.03.2020,30.04.2020,event ban for events larger than 100 persons,federal,CH
16.03.2020,30.04.2020,"restaurants, nightclubs and bars cannot host more than 50 persons",federal,CH
16.03.2020,30.04.2020,"events with less than 100 persons are permitted under special hygiene and distance conditons",federal,CH
16.03.2020,04.04.2020,school closure,federal,CH
17.03.2020,30.04.2020,closure of non necessary stores,federal,CH
17.03.2020,30.04.2020,explicit social distancing,federal,CH
17.03.2020,30.04.2020,event ban,federal,CH
13.03.2020,,"the cantons must provide information on hopspital beds, ICU, medical material etc",federal,CH
14.03.2020,,"the use of surgical masks is recommended for all medical and care personel",federal,CH
14.03.2020,,"the use of FFP2/FFP3 masks is recommended for all procedures with risk of areosol formation",federal,CH
14.03.2020,,"the use of surgical masks is not recommended for the population",federal,CH
15.03.2020,,people invited to stay home unless necessary,canton,TI
15.03.2020,,ban events larger than 30 persons,canton,TI
15.03.2020,04.04.2020,school closure,canton,TI
15.03.2020,,school can offer daycare services,canton,TI
15.03.2020,,ban on religious functions,canton,TI
15.03.2020,,ban on public funerals,canton,TI
15.03.2020,29.03.2020,all non-essential stores closed,canton,TI
15.03.2020,,all other economic activities reduced to the minimum,canton,TI
17.03.2020,,ban on hopsital and retirement home visits,canton,ZH
19.03.2020,21.03.2020,all economic and commercial activities closed,canton,TI
19.03.2020,,SBB greatly reduces train services,federal,CH
18.03.2020,,all stores must close at 18:00,canton,TI
18.03.2020,,municipal elections moved to 2021,canton,TI
18.03.2020,,ban on all public and private events,canton,TI
21.03.2020,,hospitals cannot perform non-lifesaving or urgent procedure,canton,ZH
17.03.2020,,classification of hospitals in covid and non covid,canton,ZH
17.03.2020,,"hospitals must train their staff in intensive care",canton,ZH
17.03.2020,,"special precautions (bodybag) during the burial of covid2019 patients",canton,ZH
