date_implemented, date_lifted, measure, level, unit, source
28.02.2020, , "prohibition on all organized events in the context of Carnival 2020", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "recommendation to stay at home when sick and to contact a general practitioner", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "recommendation to cough and sneeze in a paper towel or, were that not at hand, in an armpit", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "recommendation to wash hand several times a day with water and soap or a disinfectant", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "recommendation to avoid contact with people suffering from acute respiratory diseases", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "in case of symptoms, contact a general practitioner or a health service", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "in case of symptoms, do not go to medical praxis without direction of a doctor", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "test are carried out at the Basel University Hospital and at the University Children's hospital in case of children. Do not take public transportation on your way there.", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
28.02.2020, , "people that have been in contact with diseased are contacted by the cantonal physician. Quarantine is to be implemented at home", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-basler-fasnacht-findet-nicht-statt-rr.html
06.03.2020, , "hospital visitors should be pointed out to follow the rules of conduct of the BAG", cantonal, BS, //www.bs.ch/nm/2020-coronavirus-empfehlungen-fuer-pflegeheime-sowie-spitaeler-und-kliniken-im-umgang-mit-besucherinnen-und-besuchern-gd.html
09.03.2020, , "the Europa-League eight-final of the 19.03.2020 FC Basel - Frankfurt does not take place", cantonal, BS, https://www.bs.ch/nm/2020-coronavirus-europa-league-achtelfinal-vom-19-maerz-2020-findet-nicht-statt-jsd.html
13.03.2020, , "all the schools are closed from 16.03.2020 until the summer break", cantonal, BS, https://www.bs.ch/nm/2020-umsetzung-verschaerfter-massnahmen-gegen-das-coronavirus-in-basel-stadt-rr.html
13.03.2020, , "meeting of 100 people or more are prohibited", cantonal, BS, https://www.bs.ch/nm/2020-umsetzung-verschaerfter-massnahmen-gegen-das-coronavirus-in-basel-stadt-rr.html
13.03.2020, , "restaurant are not allowed to accommodate more than 50 people.", cantonal, BS, https://www.bs.ch/nm/2020-umsetzung-verschaerfter-massnahmen-gegen-das-coronavirus-in-basel-stadt-rr.html
13.03.2020, , "the cantonal museums and sport facilities are closed starting from 14.03.2020", cantonal, BS, https://www.bs.ch/nm/2020-umsetzung-verschaerfter-massnahmen-gegen-das-coronavirus-in-basel-stadt-rr.html
15.03.2020, , "the council meeting on 18.03.2020 has been canceled", cantonal, BS, https://www.bs.ch/nm/2020-die-grossratssitzung-vom-18-maerz-ist-abgesagt-gr.html
20.03.2020, , "postponement of the cantonal ballot of 17.05.2020", cantonal, BS, https://www.bs.ch/nm/2020-verschiebung-des-kantonalen-urnengangs-vom-17-mai-2020-rr.html
20.03.2020, , "Fantasy Basel is postponed to 13.11.2020-15.22.2020", private, BS, "https://www.fantasybasel.ch/en/#https://www.fantasybasel.ch/en/visitors/solidarity-support/"
