date_implemented, date_lifted, measure, level, unit, source
20.03.2020, , "appeal to younger population to stay at home", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Message-aux-jeunes-evitez-tout-rassemblement.html
20.03.2020, , "communal ballots of 22.03.2020 and 29.03.2020 posponed indefinitely", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Report-des-scrutins-communaux-jusqu-a-nouvel-avis.html
20.03.2020, , "reduction of certain administrative obligations", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-Reduction-de-certaines-obligations-administratives.html
09.03.2020, , "establishment of a second hotline dedicated to population health", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Coronavirus-COVID-19-mise-en-place-d-une-deuxieme-hotline-dediee-a-la-sante-de-la-population.html
12.03.2020, , "ban on visit to hospitals and hospices", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Mesures-pour-preserver-les-personnes-agees-du-COVID-19-dans-les-institutions-jurassiennes-de-soins.html
12.03.2020, , "the 'samedi des bibliothèques is cancelled for 2020", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/Le-Samedi-des-bibliotheques-n-aura-pas-lieu-cette-annee-dans-le-Jura.html
16.03.2020, 04.04.2020, "all schools and daycares are closed", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-d-importantes-mesures-supplementaires-pour-proteger-la-sante-de-la-population.html
14.03.2020, , "'childcare / education / training' hotline set up", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-d-importantes-mesures-supplementaires-pour-proteger-la-sante-de-la-population.html
13.03.2020, , "gatherings of more than 100 people are prohibited", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-d-importantes-mesures-supplementaires-pour-proteger-la-sante-de-la-population.html
16.03.2020, , "with the exception of health and social institutions and stores of prime necessity, all establishment have to close", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "all public, private and religios gatherings of more that 50 people, both inside and outside are forbidden", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "all the counters of the cantonal and communal administrations are in principle closed", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "companies and institutions take all measures indicated by BAG that can be reasonably implemented", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "managers of shops and public establishments still in operation display, in a conspicuous way, the hygiene measures", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "companies and institutions are urged to request medical certificates for the absence of their employees only from the 8th day of absence", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "the population is urged, as far as possible, to reduce physical social contact, to strictly observe the hygiene rules recommended by the BAG", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-canton-du-Jura-prend-des-mesures-supplementaires-pour-proteger-la-population-et-enrayer-la-propagation-du-coronaviru.html
16.03.2020, , "the week of the french language is cancelled", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/La-Semaine-de-la-langue-francaise-dans-le-Jura-n-aura-pas-lieu.html
18.03.2020, , "ban on gatherings of more than 5 people", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html
18.03.2020, , "stores selling goods of prime necessity have to guarantee measures of social distancing", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html
18.03.2020, , "all private enterprise are invited to reduce their activity to the strict necessary", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html
18.03.2020, , "admission to childcare facilities is limited to children who cannot benefit from a private daycare solution", cantonal, JU, https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html
