"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-AG",2020-03-12,"establishment of a telephone hotline by the cantonal medical association","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139093.jsp","SB","FK"
"CH","CH-AG",2020-03-12,"private clinics and general practitioners are allowed to carry out coronavirus-tests","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139093.jsp","SB","FK"
"CH","CH-AG",2020-03-16,"schools closed","schools",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139102.jsp","SB","FK"
"CH","CH-AG",2020-03-16,"ban on event with more than 100 persons","events",3,NA,"SB","FK"
"CH","CH-AG",2020-03-20,"4 hospitals are designated to recieve critical CoViD-19 patients","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"hospitals with existing ICUs and intermediate care beds must increase their capacity to the maximum","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139223.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"in private household we recomend to through PPE, paper towels and hygene items right away in rubbish bags","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"in households with people infected with CoViD-19 or in quarantine all the garbage should be disposed via rubbish bag","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp","SB","FK"
"CH","CH-AG",2020-03-20,"recycling centers should still remain open, but sanitary measures have to be enforced strictly. Only go to collection points if absolutely necessary. Non-perishable and clean waste for separate collection should be stored at home if possible.","recommendations",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139215.jsp","SB","FK"
"CH","CH-AG",2020-04-06,"Werkhof Frick / asylum centre converted into COVID isolation station","casemanagement",1,"https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139437.jsp","MBND","FK"
"CH","CH-AG",2020-02-27,"First case detected and quarantined","casemanagement",1,"https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp","FK","FK"
"CH","CH-AI",2020-02-28,"recommendations for respiratory hygiene","recommendations",1,"https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/aktuelles/coronavirus-kanton-appenzell-i-rh-hat-vorkehrungen-getroffen","FK",NA
"CH","CH-AI",2020-03-14,"contact tracting of contacts of two infected cases","casemanagement",1,"https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/aktuelles/erste-bestaetigte-coronavirus-faelle-auch-in-innerrhoden","FK",NA
"CH","CH-AI",2020-03-14,"ban of access to short- and long-term care facilities","carefacilities",2,"https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/aktuelles/besuchsverbot-fuer-spital-klinik-alters-und-pflegeheime-sowie-die-einrichtung-fuer-menschen-mit-behinderung","FK",NA
"CH","CH-AI",2020-03-16,"school closure","schools",1,"https://www.ai.ch/verwaltung/ratskanzlei/aktuelles/coronavirus-auswirkungen-der-neusten-massnahmen-des-bundes-auf-innerrhoden","FK",NA
"CH","CH-AI",2020-03-20,"counter of cantonal administrations are closed, contact by email or telphone possible","publicoffices",1,"https://www.ai.ch/politik/standeskommission/mitteilungen/aktuelles/zugang-zur-kantonalen-verwaltung","FK",NA
"CH","CH-AI",2020-03-28,"Triage and case testing in designated containers in front of the hospital","casemanagement",1,"https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/aktuelles/coronavirus-weitere-vorbereitungen-fuer-die-medizinische-versorgung-der-bevoelkerung","FK",NA
"CH","CH-AR",2020-02-26,"special information provided to educational, health, and social institutions on FOPH measures","recommendations",1,"https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/appenzell-ausserrhoden-ist-vorbereitet/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=c53342e6f2919a27078df5604fede88f","MBND","FK"
